question,answer,image_url
apa itu lagu indonesia raya,Indonesia Raya merupakan lagu kebangsaan Republik Indonesia,https://s.yimg.com/fz/api/res/1.2/1oFnzP7.EOYIGJr9lCkKGw--~C/YXBwaWQ9c3JjaGRkO2ZpPWZpdDtoPTEzMDtxPTgwO3c9MTY2/https://s.yimg.com/zb/imgv1/a24d861b-269f-3753-9609-ab28ec087575/t_500x300
siapa pencipta lagu indonesia raya,Lagu ini digubah oleh Wage Rudolf Soepratman.,
kapan lagu indonesia raya pertama kali diperkenalkan,Lagu ini diperkenalkan di depan khalayak pada tanggal 28 oktober 1928 dalam Kongres Pemuda II di Batavia (Jakarta).,
kapan indonesia raya mulai digunakan sebagai lagu kebangsaan,"Penggunaannya sebagai lagu kebangsaan dimulai pada tanggal 17 Agustus 1945, ketika Indonesia menyatakan kemerdekaan dari penjajahan.",
dalam acara apa saja lagu indonesia raya dinyanyikan,"Lagu Indonesia Raya sering dinyanyikan pada acara-acara penting. Seperti dalam upacara bendera, seminar, hingga pertandingan sepakbola. Bahkan dalam konser musik  lagu Indonesia Raya juga sering kali dinyanyikan.",
bagaimana sejarah terciptanya lagu indonesia raya,"Lagu Indonesia Raya diciptakan ketika WR Supratman membaca artikel di majalah Timboel Solo, yang bertanya mengenai komponis Indonesia yang mampu menciptakan lagu kebangsaan yang membangkitkan semangat rakyat. Artikel itu menggerakkan hati Supratman. Pada suatu malam tahun 1926,  Supratman mulai mencatat not-not lagu Indonesia Raya dan memainkannya dengan biola.",https://cdngnfi2.sgp1.cdn.digitaloceanspaces.com/gnfi/uploads/images/2022/09/2004422022-Majalah-Timboel-yang-menjadi-salah-satu-alasan-W.R.-Soepratman-tergugah-untuk-membuat-lagu-Indonesia-Raya-Good-News-From-Indonesia.jpg
dari mana inspirasi wr supratman menciptakan lagu indonesia raya,Inspirasi WR Supratman muncul setelah membaca artikel di majalah Timboel Solo yang membahas mengenai komponis Indonesia yang mampu menciptakan lagu kebangsaan.,
tahun berapa wr supratman menciptakan lagu indonesia raya,WR Supratman mulai mencatat not-not lagu Indonesia Raya pada tahun 1926.,
apa peran lagu indonesia raya dalam pergerakan nasionalis,"Lagu ini menjadi salah satu titik kelahiran pergerakan nasionalis di seluruh Nusantara yang mendukung ide ""Indonesia"" yang satu sebagai penerus Hindia Belanda,  daripada dipecah belah menjadi beberapa koloni.",
kapan lagu indonesia raya dibuat?,Lagu kebangsaan Indonesia Raya dibuat pada tahun 1926,
